user_id,product_id,rating
1,Ring Video Doorbell,4
1,Oculus Quest 3,1
1,DJI Mini Drone,4
1,Breville Coffee Maker,2
1,Samsung Odyssey Monitor,2
1,Philips Hue Bulbs,1
1,Sony WH-1000XM5,2
1,Kindle Paperwhite,5
1,Adidas Ultraboost,2
1,Dell XPS 13,4
1,Apple Watch Ultra,4
1,Xbox Series X,4
1,Apple Magic Keyboard,4
1,Instant Pot Duo,5
1,Patagonia Fleece,3
1,Fitbit Charge 6,1
1,Eufy RoboVac,4
1,Levis 501 Jeans,2
1,Ray-Ban Wayfarer,4
1,North Face Jacket,2
1,Echo Dot 5th Gen,2
2,Yeti Rambler Tumbler,1
2,Dell XPS 13,4
2,AirPods Pro 2,1
2,Samsung Galaxy S25,4
2,Sony WH-1000XM5,2
2,Arlo Pro 4 Camera,1
2,GoPro Hero 12,5
2,Surface Pro 9,3
2,Logitech MX Master,4
2,Corsair K95 Keyboard,3
2,North Face Jacket,3
2,MacBook Air M3,1
2,Canon EOS R5,3
2,Samsung 4K TV,5
2,Ring Video Doorbell,3
2,Dyson V15 Vacuum,1
2,Instant Pot Duo,5
2,Philips Hue Bulbs,2
3,PS5 Console,3
3,North Face Jacket,3
3,Sony WH-1000XM5,1
3,Corsair K95 Keyboard,5
3,Nike Air Force 1,1
3,Instant Pot Duo,3
3,MacBook Air M3,2
3,Xbox Series X,4
3,Apple Magic Keyboard,3
3,iPhone 15 Pro,1
3,Fitbit Charge 6,4
3,Roborock S8 Robot Vacuum,1
3,Patagonia Fleece,1
3,GoPro Hero 12,2
3,Razer DeathAdder,4
3,Levis 501 Jeans,4
3,BenQ Eye-Care Monitor,2
3,Ring Video Doorbell,3
3,Dyson V15 Vacuum,1
3,AirPods Pro 2,5
3,Ninja Air Fryer,1
3,HP Spectre x360,1
3,Ray-Ban Wayfarer,3
3,Samsung Galaxy S25,1
3,Samsung 4K TV,2
3,Yeti Rambler Tumbler,2
3,Eufy RoboVac,4
3,Apple Watch Ultra,5
4,HP Spectre x360,2
4,Razer DeathAdder,1
4,Google Nest Hub,4
4,LG OLED TV,4
4,Dyson V15 Vacuum,1
4,Philips Hue Bulbs,2
4,Fitbit Charge 6,1
4,Kindle Paperwhite,4
4,Ray-Ban Wayfarer,5
4,Samsung Odyssey Monitor,5
4,Xbox Series X,3
4,Bose QuietComfort,1
4,Roborock S8 Robot Vacuum,1
4,Patagonia Fleece,3
4,Nike Air Force 1,3
5,Kindle Paperwhite,3
5,Ninja Air Fryer,3
5,GoPro Hero 12,2
5,Ray-Ban Wayfarer,5
5,Sony WH-1000XM5,1
5,North Face Jacket,4
5,Ring Video Doorbell,1
5,Logitech MX Master,5
5,AirPods Pro 2,4
5,Bose QuietComfort,5
5,Google Nest Hub,3
5,Dyson V15 Vacuum,4
5,Yeti Rambler Tumbler,3
5,BenQ Eye-Care Monitor,1
5,Oculus Quest 3,1
5,Apple Watch Ultra,4
5,Echo Dot 5th Gen,4
5,Arlo Pro 4 Camera,5
5,Surface Pro 9,5
5,DJI Mini Drone,3
5,LG OLED TV,4
5,iPhone 15 Pro,1
5,Dell XPS 13,5
5,Adidas Ultraboost,5
5,Breville Coffee Maker,1
5,Eufy RoboVac,5
5,Samsung 4K TV,3
5,Samsung Galaxy S25,4
5,HP Spectre x360,1
5,Fitbit Charge 6,4
6,Sony WH-1000XM5,5
6,Roborock S8 Robot Vacuum,2
6,GoPro Hero 12,2
6,Bose QuietComfort,1
6,Arlo Pro 4 Camera,4
6,AirPods Pro 2,2
6,Razer DeathAdder,3
6,Fitbit Charge 6,4
6,Samsung Odyssey Monitor,5
6,Apple Magic Keyboard,1
6,Yeti Rambler Tumbler,5
6,Echo Dot 5th Gen,4
6,Dyson V15 Vacuum,4
6,Surface Pro 9,4
6,Apple iPad Pro,5
7,Canon EOS R5,5
7,Xbox Series X,4
7,Ray-Ban Wayfarer,5
7,Fitbit Charge 6,1
7,Arlo Pro 4 Camera,4
7,Razer DeathAdder,5
7,Breville Coffee Maker,4
7,MacBook Air M3,2
7,PS5 Console,2
7,Eufy RoboVac,5
7,Instant Pot Duo,4
7,Apple Watch Ultra,1
7,Patagonia Fleece,5
7,Apple Magic Keyboard,2
7,Apple iPad Pro,2
7,Echo Dot 5th Gen,5
7,Nike Air Force 1,4
7,Google Nest Hub,2
7,Samsung Galaxy S25,4
7,Bose QuietComfort,2
7,Samsung 4K TV,2
8,Oculus Quest 3,2
8,Adidas Ultraboost,3
8,Philips Hue Bulbs,1
8,AirPods Pro 2,4
8,Apple Magic Keyboard,2
8,HP Spectre x360,5
8,Razer DeathAdder,2
8,Apple Watch Ultra,5
8,North Face Jacket,3
8,Fitbit Charge 6,5
8,Samsung 4K TV,4
8,Echo Dot 5th Gen,1
8,Google Nest Hub,5
8,Bose QuietComfort,5
8,Kindle Paperwhite,1
8,LG OLED TV,4
8,Xbox Series X,2
8,Ray-Ban Wayfarer,5
8,Nike Air Force 1,1
8,Ninja Air Fryer,3
8,Corsair K95 Keyboard,1
8,Surface Pro 9,3
8,Samsung Odyssey Monitor,4
8,Roborock S8 Robot Vacuum,2
8,Canon EOS R5,1
8,Yeti Rambler Tumbler,5
8,Apple iPad Pro,4
8,Eufy RoboVac,1
8,BenQ Eye-Care Monitor,5
8,MacBook Air M3,1
8,Patagonia Fleece,3
8,Dyson V15 Vacuum,1
8,Ring Video Doorbell,1
9,Roborock S8 Robot Vacuum,2
9,Nike Air Force 1,4
9,iPhone 15 Pro,1
9,AirPods Pro 2,5
9,Samsung Galaxy S25,5
9,Ring Video Doorbell,2
9,LG OLED TV,1
9,Canon EOS R5,2
9,North Face Jacket,3
9,PS5 Console,2
9,Surface Pro 9,2
9,Apple Magic Keyboard,5
9,Patagonia Fleece,5
9,Razer DeathAdder,5
9,Ray-Ban Wayfarer,3
9,Eufy RoboVac,5
9,Philips Hue Bulbs,1
9,Corsair K95 Keyboard,4
9,DJI Mini Drone,1
9,Dell XPS 13,1
9,Apple iPad Pro,5
9,Logitech MX Master,4
9,BenQ Eye-Care Monitor,4
9,MacBook Air M3,4
9,Sony WH-1000XM5,3
9,Ninja Air Fryer,5
9,Levis 501 Jeans,4
9,Bose QuietComfort,3
9,Oculus Quest 3,2
9,Echo Dot 5th Gen,2
9,Breville Coffee Maker,3
10,Corsair K95 Keyboard,4
10,Razer DeathAdder,4
10,Apple iPad Pro,5
10,Apple Watch Ultra,2
10,Ray-Ban Wayfarer,4
10,LG OLED TV,4
10,Ring Video Doorbell,2
10,Surface Pro 9,2
10,Yeti Rambler Tumbler,4
10,Philips Hue Bulbs,2
10,Echo Dot 5th Gen,4
10,Fitbit Charge 6,4
10,Samsung Galaxy S25,5
10,Adidas Ultraboost,1
10,Patagonia Fleece,4
10,North Face Jacket,3
10,BenQ Eye-Care Monitor,1
10,Dell XPS 13,1
10,Sony WH-1000XM5,1
10,Canon EOS R5,5
10,PS5 Console,4
11,Dell XPS 13,3
11,Nike Air Force 1,1
11,Instant Pot Duo,5
11,PS5 Console,1
11,Yeti Rambler Tumbler,1
11,Eufy RoboVac,3
11,Samsung Odyssey Monitor,5
11,Philips Hue Bulbs,5
11,Fitbit Charge 6,4
11,DJI Mini Drone,1
11,Levis 501 Jeans,1
11,LG OLED TV,2
11,Dyson V15 Vacuum,4
11,Arlo Pro 4 Camera,2
11,Apple Watch Ultra,2
11,Razer DeathAdder,2
11,Oculus Quest 3,3
11,MacBook Air M3,3
11,Adidas Ultraboost,2
11,BenQ Eye-Care Monitor,4
11,HP Spectre x360,1
11,Roborock S8 Robot Vacuum,4
11,Breville Coffee Maker,5
11,Logitech MX Master,3
11,Echo Dot 5th Gen,1
11,Ninja Air Fryer,1
11,Canon EOS R5,5
12,HP Spectre x360,3
12,Instant Pot Duo,3
12,iPhone 15 Pro,5
12,Levis 501 Jeans,2
12,Logitech MX Master,5
12,Ninja Air Fryer,2
12,Nike Air Force 1,3
12,Apple Watch Ultra,3
12,Adidas Ultraboost,5
12,MacBook Air M3,5
12,Dyson V15 Vacuum,2
12,Fitbit Charge 6,4
12,Eufy RoboVac,2
12,Kindle Paperwhite,5
12,Ring Video Doorbell,5
12,Corsair K95 Keyboard,1
12,AirPods Pro 2,5
12,Breville Coffee Maker,1
12,Xbox Series X,4
12,Samsung 4K TV,2
12,Apple iPad Pro,2
12,Oculus Quest 3,1
12,BenQ Eye-Care Monitor,2
12,Dell XPS 13,5
12,Sony WH-1000XM5,3
12,North Face Jacket,1
12,Yeti Rambler Tumbler,2
12,Ray-Ban Wayfarer,1
13,Echo Dot 5th Gen,2
13,Levis 501 Jeans,4
13,Google Nest Hub,1
13,Philips Hue Bulbs,1
13,HP Spectre x360,5
13,Dell XPS 13,4
13,Sony WH-1000XM5,1
13,BenQ Eye-Care Monitor,4
13,Adidas Ultraboost,2
13,Patagonia Fleece,3
13,Ninja Air Fryer,1
13,AirPods Pro 2,5
13,Ray-Ban Wayfarer,2
13,Logitech MX Master,4
13,DJI Mini Drone,2
13,Dyson V15 Vacuum,1
13,Instant Pot Duo,4
13,Canon EOS R5,3
13,Xbox Series X,2
13,Ring Video Doorbell,1
13,MacBook Air M3,5
13,Apple Watch Ultra,4
13,Yeti Rambler Tumbler,2
13,Apple iPad Pro,2
13,Eufy RoboVac,3
13,Apple Magic Keyboard,3
13,Kindle Paperwhite,5
13,Samsung Galaxy S25,5
13,PS5 Console,1
14,Apple Watch Ultra,1
14,Patagonia Fleece,2
14,Levis 501 Jeans,5
14,Corsair K95 Keyboard,3
14,iPhone 15 Pro,4
14,Eufy RoboVac,5
14,Kindle Paperwhite,3
14,Apple iPad Pro,3
14,Fitbit Charge 6,1
14,Oculus Quest 3,2
14,Apple Magic Keyboard,2
14,Dyson V15 Vacuum,5
14,Razer DeathAdder,2
14,Ray-Ban Wayfarer,4
14,Logitech MX Master,2
15,Xbox Series X,3
15,Ray-Ban Wayfarer,3
15,Apple Watch Ultra,2
15,Logitech MX Master,4
15,DJI Mini Drone,1
15,Oculus Quest 3,5
15,Dell XPS 13,2
15,Samsung Odyssey Monitor,1
15,Apple Magic Keyboard,2
15,Samsung 4K TV,3
15,LG OLED TV,5
15,Levis 501 Jeans,1
15,Kindle Paperwhite,1
15,Roborock S8 Robot Vacuum,1
15,AirPods Pro 2,1
15,Nike Air Force 1,1
15,Philips Hue Bulbs,2
15,Yeti Rambler Tumbler,5
15,MacBook Air M3,3
15,Apple iPad Pro,3
15,Eufy RoboVac,3
15,Echo Dot 5th Gen,3
15,Arlo Pro 4 Camera,2
15,Corsair K95 Keyboard,4
15,Ninja Air Fryer,5
15,Fitbit Charge 6,1
15,Patagonia Fleece,4
16,Surface Pro 9,2
16,Apple Watch Ultra,3
16,Adidas Ultraboost,4
16,Ninja Air Fryer,2
16,Yeti Rambler Tumbler,5
16,GoPro Hero 12,2
16,North Face Jacket,1
16,HP Spectre x360,1
16,LG OLED TV,4
16,Fitbit Charge 6,3
16,Patagonia Fleece,4
16,Levis 501 Jeans,4
16,MacBook Air M3,4
16,Canon EOS R5,4
16,Corsair K95 Keyboard,5
16,PS5 Console,5
16,Dyson V15 Vacuum,2
16,Xbox Series X,1
16,Roborock S8 Robot Vacuum,4
16,Philips Hue Bulbs,2
16,Nike Air Force 1,1
17,Dyson V15 Vacuum,5
17,Breville Coffee Maker,3
17,Eufy RoboVac,2
17,GoPro Hero 12,4
17,Sony WH-1000XM5,2
17,Dell XPS 13,5
17,Surface Pro 9,1
17,Levis 501 Jeans,1
17,Patagonia Fleece,4
17,Apple Magic Keyboard,1
17,Kindle Paperwhite,1
17,North Face Jacket,4
17,Xbox Series X,4
17,Apple Watch Ultra,5
17,Samsung Galaxy S25,1
17,AirPods Pro 2,1
17,Roborock S8 Robot Vacuum,5
17,MacBook Air M3,3
17,Logitech MX Master,3
17,Instant Pot Duo,3
17,Ray-Ban Wayfarer,5
17,PS5 Console,1
17,Corsair K95 Keyboard,5
17,Adidas Ultraboost,5
17,DJI Mini Drone,3
17,Samsung Odyssey Monitor,2
17,Bose QuietComfort,1
17,Nike Air Force 1,3
17,Yeti Rambler Tumbler,2
17,Razer DeathAdder,2
17,Philips Hue Bulbs,4
17,HP Spectre x360,1
17,Echo Dot 5th Gen,2
18,Adidas Ultraboost,1
18,Surface Pro 9,5
18,Philips Hue Bulbs,3
18,Fitbit Charge 6,5
18,North Face Jacket,3
18,Dyson V15 Vacuum,4
18,AirPods Pro 2,5
18,Instant Pot Duo,4
18,BenQ Eye-Care Monitor,2
18,Breville Coffee Maker,2
18,Canon EOS R5,1
18,Kindle Paperwhite,5
18,Levis 501 Jeans,4
18,Samsung Odyssey Monitor,3
18,Samsung Galaxy S25,2
18,Samsung 4K TV,2
18,Ninja Air Fryer,3
18,DJI Mini Drone,4
18,PS5 Console,4
18,Sony WH-1000XM5,5
19,MacBook Air M3,2
19,Levis 501 Jeans,4
19,Arlo Pro 4 Camera,5
19,Instant Pot Duo,2
19,DJI Mini Drone,5
19,Dyson V15 Vacuum,3
19,Philips Hue Bulbs,1
19,iPhone 15 Pro,3
19,HP Spectre x360,2
19,BenQ Eye-Care Monitor,4
19,Bose QuietComfort,5
19,Samsung Odyssey Monitor,1
19,AirPods Pro 2,5
19,Ninja Air Fryer,2
19,Sony WH-1000XM5,5
19,Google Nest Hub,1
19,Oculus Quest 3,2
19,Xbox Series X,5
19,Dell XPS 13,4
20,DJI Mini Drone,3
20,AirPods Pro 2,3
20,Patagonia Fleece,2
20,HP Spectre x360,5
20,Dyson V15 Vacuum,4
20,Apple Watch Ultra,4
20,Fitbit Charge 6,3
20,GoPro Hero 12,2
20,Nike Air Force 1,4
20,LG OLED TV,3
20,Xbox Series X,5
20,Surface Pro 9,4
20,Levis 501 Jeans,3
20,Ray-Ban Wayfarer,3
20,Adidas Ultraboost,1
20,Breville Coffee Maker,5
20,Google Nest Hub,1
20,Kindle Paperwhite,2
20,North Face Jacket,1
20,BenQ Eye-Care Monitor,1
20,Ring Video Doorbell,4
20,MacBook Air M3,3
20,Yeti Rambler Tumbler,5
20,Instant Pot Duo,1
20,Bose QuietComfort,5
20,Dell XPS 13,1
20,Arlo Pro 4 Camera,2
20,Eufy RoboVac,1
21,Kindle Paperwhite,1
21,PS5 Console,5
21,Roborock S8 Robot Vacuum,2
21,AirPods Pro 2,1
21,Apple iPad Pro,5
21,Dell XPS 13,2
21,Canon EOS R5,4
21,BenQ Eye-Care Monitor,2
21,Sony WH-1000XM5,3
21,Dyson V15 Vacuum,2
21,Samsung Galaxy S25,2
21,GoPro Hero 12,3
21,Samsung Odyssey Monitor,5
21,Surface Pro 9,5
21,iPhone 15 Pro,2
21,Xbox Series X,3
21,Ring Video Doorbell,3
21,MacBook Air M3,4
21,DJI Mini Drone,5
21,Instant Pot Duo,1
21,Apple Magic Keyboard,5
21,Patagonia Fleece,5
21,Nike Air Force 1,4
21,Google Nest Hub,1
21,Yeti Rambler Tumbler,4
21,Adidas Ultraboost,1
22,Philips Hue Bulbs,5
22,Samsung 4K TV,3
22,Razer DeathAdder,5
22,HP Spectre x360,2
22,Ray-Ban Wayfarer,3
22,Echo Dot 5th Gen,2
22,Kindle Paperwhite,1
22,LG OLED TV,2
22,Apple Magic Keyboard,1
22,DJI Mini Drone,1
22,Samsung Galaxy S25,2
22,Yeti Rambler Tumbler,3
22,Logitech MX Master,5
22,Apple iPad Pro,5
22,Oculus Quest 3,1
22,Nike Air Force 1,1
22,Apple Watch Ultra,3
22,AirPods Pro 2,4
22,Canon EOS R5,2
